name,building_type,no_rooms,no_hall,area,age,address,price,date,lat,lon,timestamp
近地鐵站最筍2房 豪華靚裝,屋苑,2,2,537,-1,九龍 油塘/藍田 匯景花園_03座,23000,07-05-2021,22.30697915,114.23430684713276,1.62035E+12
洗衣机送wifi 洋樓 近地鐵站,單棟式大廈,-1,-1,120,39,富苑   港島 灣仔 灣仔道39-49號,6000,07-05-2021,22.2779207,114.1796555,1.62035E+12
"別緻雅裝 , 開放式設計 , 旺中帶靜",單棟式大廈,-1,-1,120,-1,港島 北角 南方大廈,6900,07-05-2021,22.29003015,114.19483773828122,1.62035E+12
免佣金業主盤銅鑼灣精裝套房傢電齊備,單棟式大廈,-1,-1,100,57,港島 銅鑼灣 加寧街9-11號華高大廈,5800,07-05-2021,22.28222855,114.1854109264151,1.62035E+12
"精緻裝修 , 乾濕分離 , 光線充足",單棟式大廈,-1,-1,160,-1,港島 灣仔 鴻業大廈,8000,07-05-2021,22.2780815,114.1793086857227,1.62035E+12
限時優惠-月租服務式客房5月開放日,單棟式大廈,-1,-1,310,11,港島 北角 油街23號 炮台山港島海逸君綽酒店,9900,07-05-2021,22.28898125,114.19168449950723,1.62035E+12
多窗齊傢電 乾濕分離 唐樓5/F,唐樓,1,1,180,-1,港島 筲箕灣 筲箕灣道210號,7500,07-05-2021,22.2833265,114.2208723,1.62035E+12
租客免佣*1房1廳靚裝*連傢電可即租即住,單棟式大廈,1,1,200,-1,港島 北角 英皇道333號,7800,07-05-2021,22.2895278,114.1947001,1.62035E+12
"鄰近銅鑼灣地鐵站,Sogo,衣食行樣樣齊",單棟式大廈,2,2,555,-1,港島 銅鑼灣 東角道,17000,07-05-2021,22.280321,114.1848885,1.62035E+12
"近地鐵站,雅裝,洋樓優質大套房",單棟式大廈,-1,-1,120,-1,港島 北角 明秀大廈,4500,07-05-2021,22.2914511,114.19791328096774,1.62035E+12
上環商業區極罕有連傢電毗鄰中環合繁忙人仕,單棟式大廈,1,0,150,-1,港島 上環/中環 文咸西街,8300,07-05-2021,22.2864594,114.1492265,1.62035E+12
跑馬地半山環境優靜時尚靚裝包傢電WiFi,唐樓,1,0,140,-1,港島 跑馬地 樂景臺,8900,07-05-2021,22.2739895,114.1849436,1.62035E+12
鄰近香港大學罕有小型複式擴闊型格活動空間,單棟式大廈,1,0,120,-1,港島 西區 西營盤薄扶林道33號,5300,07-05-2021,22.2842099,114.1337247,1.62035E+12
2房大聽 客聽四方四正 全新裝修單邊窗,單棟式大廈,2,1,2,-1,港島 銅鑼灣 駱克大廈,20000,07-05-2021,22.2803468,114.18119250496918,1.62035E+12
靚裝中層傢電 兩大房大廳 有匙,單棟式大廈,-1,-1,488,44,港島 北角 高發大廈,16800,07-05-2021,22.291751400000003,114.19823545,1.62035E+12
近時代廣場2房企理裝修交通便利,單棟式大廈,2,1,374,-1,港島 灣仔 堅拿道西15號,14500,07-05-2021,22.276709,114.1809955,1.62035E+12
齊像電靚裝修,單棟式大廈,1,1,280,-1,港島 灣仔 泰港大廈,13800,07-05-2021,22.27965,114.1826866204828,1.62035E+12
跑馬地銅鑼灣灣仔交界老牌豪宅三房必看之選,屋苑,3,2,580,-1,港島 銅鑼灣 禮頓道,21800,07-05-2021,22.2770275,114.1820964,1.62035E+12
灣仔開放式高層豪華裝潢連天台開揚城市景,單棟式大廈,-1,-1,344,-1,港島 灣仔 皇后大道東88-90,22000,07-05-2021,22.2779053,114.1673983,1.62035E+12
銅鑼灣開放式中層豪華裝潢近銅鑼灣站,唐樓,-1,-1,150,-1,港島 銅鑼灣 銅鑼灣駱克道531號,5200,07-05-2021,22.2799917,114.181096,1.62035E+12
靚裝一房傢電齊，3分鐘炮台山地鐵站，有匙,單棟式大廈,1,1,266,43,英皇中心   港島 北角 英皇道193-241號,12800,07-05-2021,22.2893114,114.1943113,1.62035E+12
近時代廣場五星级的家潮裝傢俬拎包即住,單棟式大廈,2,1,374,-1,港島 灣仔 堅拿道西15號,17500,07-05-2021,22.276709,114.1809955,1.62035E+12
天后靚裝單位，套房價租獨立單位，有匙,單棟式大廈,-1,-1,181,29,港島 北角 銅鑼灣英皇道37號,9800,07-05-2021,22.281859,114.1914706,1.62035E+12
"免按金,海景太空艙,男女士專區, 可收信",單棟式大廈,2,1,1000,-1,港島 銅鑼灣 銅鑼灣告士打道275號2樓,1880,07-05-2021,22.2797513,114.17183295951429,1.62035E+12
灣仔美暉2房高層近灣仔站海景開揚平租,單棟式大廈,2,2,427,35,港島 灣仔 謝斐道110-116號,16000,07-05-2021,22.2798375,114.1794043,1.62035E+12
超值星级摩登雅裝2房城市景位置佳,屋苑,2,1,374,-1,港島 灣仔 堅拿道西15號,15800,07-05-2021,22.276709,114.1809955,1.62035E+12
灣仔美暉2房高層近灣仔站開揚可飼養寵物南,單棟式大廈,2,2,427,35,港島 灣仔 謝斐道110-116號,18000,07-05-2021,22.2798375,114.1794043,1.62035E+12
灣仔2房2廳高層近灣仔站開揚可飼養寵物南,單棟式大廈,2,2,439,56,港島 灣仔 交加街40號,11500,07-05-2021,22.2756095,114.1736927,1.62035E+12
